Cycle #,Module,Start Time,DES CO2 (kg),DES Hours,BAG CO2 (kg),DES Vol Cap,eTotal kWh
558,N3-M2n4,15/09/2026 16:15,5.288,0.955,4.225,202.335,77.93
557,N1N2N3-M1n3,15/09/2026 14:43,13.865,2.1222,13.464,176.835,340.86
556,N3-M2n4,15/09/2026 12:56,6.567,1.0103,5.745,251.246,83.1
555,N1N2N3-M1n3,15/09/2026 10:58,13.177,2.5767,12.828,168.058,368.71
553,N1N2N3-M1n3,15/09/2026 07:08,10.549,2.0031,10.328,134.536,307.27
552,N3-M2n4,15/09/2026 05:35,4.09,1.1881,3.027,156.484,90.62
551,N1N2N3-M1n3,15/09/2026 03:56,14.018,2.0344,13.86,178.777,379.71
549,N1N2N3-M1n3,15/09/2026 00:45,14.345,2.0056,14.153,182.946,374.99
547,N1N2N3-M1n3,14/09/2026 20:54,11.944,2.6697,11.784,152.329,395.65
546,N3-M2n4,14/09/2026 19:19,5.169,1.1261,3.983,197.773,84.97
545,N1N2N3-M1n3,14/09/2026 17:23,10.147,2.1433,9.792,129.412,297.74
542,N1N2N3-M1n3,14/09/2026 12:08,10.099,1.8847,9.555,128.802,280.28
541,N3-M2n4,14/09/2026 10:40,4.985,0.9789,3.812,190.724,67.94
540,N1N2N3-M1n3,14/09/2026 08:24,8.738,2.5575,8.328,111.442,319.07
538,N1N2N3-M1n3,14/09/2026 05:04,11.635,2.1461,11.296,148.395,366.55
536,N1N2N3-M1n3,14/09/2026 01:57,11.481,1.9386,11.203,146.421,372.19
534,N1N2N3-M1n3,13/09/2026 22:17,11.151,2.0192,10.9,142.213,379.18
532,N1N2N3-M1n3,13/09/2026 19:00,11.437,2.1214,11.149,145.863,375.22
528,N1N2N3-M1n3,13/09/2026 08:52,11.745,2.1606,11.506,149.799,344.36
526,N1N2N3-M1n3,13/09/2026 05:23,11.654,1.9886,11.487,148.632,380.24
524,N1N2N3-M1n3,13/09/2026 02:15,11.181,1.9547,10.998,142.6,373.67
523,N3-M2n4,13/09/2026 00:44,4.063,0.8853,2.728,155.453,69.04
522,N1N2N3-M1n3,12/09/2026 23:06,10.526,1.9697,10.333,134.251,338.92
521,N3-M2n4,12/09/2026 21:29,5.058,0.9258,3.858,193.514,72
520,N1N2N3-M1n3,12/09/2026 19:54,11.04,2.0319,10.768,140.8,363.44
519,N3-M2n4,12/09/2026 18:04,4.836,0.9883,3.278,185.026,69.72
518,N1N2N3-M1n3,12/09/2026 16:26,10.881,2.2814,9.914,138.767,352.46
517,N3-M2n4,12/09/2026 14:35,4.02,0.9694,2.911,153.804,69.11
516,N1N2N3-M1n3,12/09/2026 13:04,10.636,2.1906,9.98,135.65,341.21
514,N1N2N3-M1n3,12/09/2026 09:42,11.595,2.2047,11.33,147.88,353.98
512,N1N2N3-M1n3,12/09/2026 06:26,12.324,2.0847,12.174,157.171,375.28
510,N1N2N3-M1n3,12/09/2026 02:07,10.548,1.9117,10.361,134.53,329.44
508,N1N2N3-M1n3,11/09/2026 22:49,11.637,2.1142,11.366,148.416,383.79
506,N1N2N3-M1n3,11/09/2026 19:41,10.629,1.9625,10.343,135.557,324.93
504,N1N2N3-M1n3,11/09/2026 16:23,9.727,2.1342,9.257,124.055,300.87
502,N1N2N3-M1n3,11/09/2026 12:54,11.483,2.2922,10.933,146.456,322.6
