Cycle #,Module,Adsorption (min),Evacuation (min),Preheating (min),NCGs Purging (min),NCGs Purging/Heating (min),Heating/CO2 Purging (min),CO2 Purging (min),Cooling (min),Total Cycle (min)
554,N3-M2n4,72.8,0.9,1.4,10.0,20.5,19.3,9.9,8.0,142.7
553,N1N2N3-M1n3,71.1,3.9,3.9,10.0,26.5,20.2,54.2,2.1,192.0
552,N3-M2n4,71.9,1.4,1.4,10.0,23.3,13.4,11.9,8.0,141.3
551,N1N2N3-M1n3,71.1,3.9,3.9,10.0,20.8,15.1,51.1,17.9,193.8
550,N3-M2n4,71.9,1.4,1.4,10.0,24.0,15.2,11.9,8.0,143.8
547,N1N2N3-M1n3,71.1,1.4,1.4,10.0,21.5,18.3,51.3,34.7,209.8
546,N3-M2n4,71.2,1.5,1.5,10.0,17.3,15.6,12.0,8.0,136.9
545,N1N2N3-M1n3,71.2,3.9,3.9,10.0,0.3,35.2,68.3,7.6,200.5
543,N3-M2n4,71.3,0.8,2.0,10.0,18.5,21.3,20.7,2.4,147.0
539,N3-M2n4,71.9,1.4,1.4,10.0,22.8,9.4,11.9,8.0,136.8
537,N3-M2n4,71.4,1.4,1.4,10.0,21.4,8.1,11.9,8.0,133.7
535,N3-M2n4,71.9,1.4,1.4,10.0,21.1,12.0,11.9,0.5,130.3
533,N3-M2n4,71.9,1.4,1.4,10.0,19.8,6.1,11.9,8.0,130.5
525,N3-M2n4,71.9,1.4,1.4,10.0,18.6,3.7,11.9,8.0,126.9
518,N1N2N3-M1n3,71.1,0.2,3.8,10.0,16.3,12.9,50.8,34.5,199.6
517,N3-M2n4,71.9,1.5,1.5,10.0,12.5,5.9,11.9,13.0,128.3
516,N1N2N3-M1n3,71.1,3.9,3.9,10.0,14.2,13.6,49.9,36.6,203.2
515,N3-M2n4,71.9,1.5,1.5,10.0,15.2,7.2,11.9,8.0,127.3
511,N3-M2n4,71.9,1.4,1.4,10.0,16.6,14.7,11.9,8.0,136.0
509,N3-M2n4,71.9,1.4,1.4,10.0,19.3,10.1,11.9,8.0,134.1
507,N3-M2n4,71.9,1.4,1.4,10.0,17.8,9.7,11.9,8.0,132.1
505,N3-M2n4,71.1,1.5,1.5,10.0,15.2,8.4,11.9,8.0,127.5
502,N1N2N3-M1n3,71.1,3.9,3.9,10.0,0.3,23.2,51.4,45.5,209.3
501,N3-M2n4,71.9,1.5,1.5,10.0,10.0,9.3,11.9,12.0,128.1
500,N1N2N3-M1n3,72.8,3.9,3.9,10.0,28.9,11.0,41.2,33.5,205.1
499,N3-M2n4,71.9,1.4,1.5,10.0,0.6,23.3,13.6,8.0,130.3
497,N3-M2n4,71.9,1.4,1.5,10.0,16.2,7.7,11.9,8.0,128.6
495,N3-M2n4,71.9,1.4,1.8,10.0,0.2,23.3,11.9,8.0,128.4
482,N2-M2n4,61.2,0.9,1.0,10.0,28.0,11.8,11.9,8.0,132.7
480,N2-M2n4,62.4,0.8,1.7,10.0,18.3,17.2,16.7,7.6,134.6
478,N2-M2n4,61.2,0.9,2.5,10.0,27.6,12.2,11.9,8.0,134.2
471,N1N2-M1n3,71.2,2.5,2.5,10.0,19.5,4.8,21.0,15.5,147.0
470,N1N2-M1n3,71.2,0.4,2.1,10.0,17.9,1.9,20.5,16.0,140.1
466,N1N2N3-M1n3,71.0,0.5,0.3,10.0,14.5,10.2,75.7,43.8,226.0
465,N2-M2n4,61.2,1.1,2.3,10.0,15.7,4.9,11.9,20.9,128.1
452,N1N2-M1n3,77.4,9.0,2.6,10.0,16.9,18.5,24.4,12.4,171.2
437,N1N2N3-M1n3,70.6,4.0,3.0,10.0,20.0,15.9,11.1,31.0,165.6
419,N1N2-M1n3,61.2,2.8,2.7,10.0,17.9,5.1,28.1,9.0,136.7
417,N1N2-M1n3,61.2,2.8,2.4,10.0,12.1,27.9,6.4,74.3,197.1
372,N1N2-M1n3,61.2,2.8,2.3,10.0,17.1,6.3,25.4,10.6,135.7
362,N1N2-M1n3,61.2,2.5,2.5,10.0,19.3,4.0,50.5,7.3,157.3
356,N1N2-M1n3,61.2,2.5,2.5,10.0,9.2,7.3,46.3,8.7,147.8
355,N1N2-M1n3,61.2,2.5,2.5,10.0,18.2,5.1,50.0,8.0,157.5
354,N1N2-M1n3,61.2,2.5,2.5,10.0,9.0,21.7,24.3,33.3,164.5
353,N1N2-M1n3,61.2,2.6,2.6,10.0,11.8,36.5,5.5,49.3,179.5
349,N1N2-M1n3,61.2,2.5,2.5,10.0,18.4,5.4,45.5,11.7,157.3
342,N1N2-M1n3,61.2,2.5,2.5,10.0,0.2,25.8,45.5,8.4,156.1
339,N1N2-M1n3,61.2,2.5,2.5,10.0,17.6,3.6,35.1,28.0,160.6
328,N1N2-M1n3,61.2,2.5,4.6,10.0,15.5,6.2,34.9,29.2,164.1
327,N1N2-M1n3,61.2,2.5,2.5,10.0,15.2,6.4,34.8,25.3,157.9
326,N1N2-M1n3,61.2,2.5,2.5,10.0,14.3,5.6,34.9,26.3,157.3
325,N1N2-M1n3,61.2,2.5,2.5,10.0,14.2,5.8,34.8,26.9,157.9
315,N1-M1n3,61.2,1.4,1.6,10.0,24.9,33.2,2.1,6.8,141.2
309,N1N2-M1n3,61.2,1.0,1.0,10.0,24.2,7.3,51.0,2.3,158.1
308,N2-M2n4,61.2,1.4,1.6,10.0,20.6,19.3,11.9,5.0,131.0
306,N2-M2n4,62.3,1.4,1.5,10.0,19.8,20.1,11.9,6.5,133.6
304,N2-M2n4,62.3,1.4,1.4,10.0,21.9,17.8,11.9,7.8,134.6
300,N2-M2n4,62.3,1.4,1.6,10.0,22.5,11.8,11.9,8.0,129.4
298,N2-M2n4,62.3,1.4,1.6,10.0,17.0,14.3,11.9,9.9,128.3
294,N2-M2n4,62.3,1.4,1.6,10.0,20.5,12.8,11.9,9.5,130.1
291,N1N2-M1n3,61.2,2.5,2.5,10.0,19.4,7.4,45.3,10.8,159.1
290,N2-M2n4,62.4,1.4,1.5,10.0,21.9,18.0,11.9,8.0,135.1
289,N1N2-M1n3,61.2,2.6,2.5,10.0,16.1,6.8,43.9,14.8,157.9
288,N2-M2n4,62.3,1.4,1.6,10.0,22.8,15.2,11.9,8.0,133.2
287,N1N2-M1n3,61.2,2.5,2.5,10.0,15.5,6.7,43.4,15.3,157.3
286,N2-M2n4,62.3,1.4,1.6,10.0,21.4,13.9,11.9,8.0,130.5
285,N1N2-M1n3,61.2,2.6,2.5,10.0,15.4,6.3,37.7,24.6,160.4
284,N2-M2n4,62.3,1.4,1.5,10.0,21.5,13.7,11.9,8.0,130.2
283,N1N2-M1n3,61.2,2.5,2.5,10.0,15.3,5.6,45.1,15.8,158.0
